"Submission","Test","n","Mean","sd","se"
"","Base1",3,NA,NA,NA
"","Base2",3,NA,NA,NA
"","BestBaselineTime",3,NA,NA,NA
"","PT1",3,NA,NA,NA
"","PT2",3,NA,NA,NA
"Choke","Base1",32,56.496875,13.7574023329847,2.43198812029128
"Choke","Base2",32,52.2125,10.872776005442,1.92205341094261
"Choke","BestBaselineTime",32,51.621875,10.2921433980394,1.81941109742451
"Choke","PT1",32,51.7,10.4812582352286,1.85284219337438
"Choke","PT2",32,48.4125,9.54262931238285,1.68691447428386
"Non-Choke","Base1",30,54.1733333333333,10.1589075347131,1.85475427212385
"Non-Choke","Base2",30,50.2066666666667,9.30376020880743,1.6986264453276
"Non-Choke","BestBaselineTime",30,50.0866666666667,9.22226441388124,1.68374741691997
"Non-Choke","PT1",30,49.7633333333333,10.6172105997545,1.93842858108951
"Non-Choke","PT2",30,46.0633333333333,8.23987292056901,1.50438808985721
